source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,corpus_match_status,quality_flag,possible_meaning_warning,review_status,notes
cốc,cỏc,1,1,cốc,cỏc,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sông,sỏng,1,1,sông,sỏng,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sông,sôc,1,1,sông,sôc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biển,biểc,1,1,biển,biểc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biển,biểm,1,1,biển,biểm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biển,biểng,1,1,biển,biểng,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
luật,luậc,1,1,luật,luậc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
luật,luậm,1,1,luật,luậm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
luật,luậng,1,1,luật,luậng,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
trị,trỉ,1,1,trị,trỉ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
trị,trý,1,1,trị,trý,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
trị,trế,1,1,trị,trế,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sách,sảch,1,1,sách,sảch,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sách,sác,1,1,sách,sác,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sách,sán,1,1,sách,sán,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
chợ,chọ,1,1,chợ,chọ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
chợ,chá,1,1,chợ,chá,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
gió,hó,1,1,gió,hó,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
gió,mó,1,1,gió,mó,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
gió,thó,1,1,gió,thó,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
ghế,ghể,1,1,ghế,ghể,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
ghế,giế,1,1,ghế,giế,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
ghế,hế,1,1,ghế,hế,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất,đat,1,1,đất,đat,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất,đảt,1,1,đất,đảt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất,đấc,1,1,đất,đấc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đá,đạ,1,1,đá,đạ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đá,đâ,1,1,đá,đâ,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đá,đă,1,1,đá,đă,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
dân,dản,1,1,dân,dản,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
dân,dâc,1,1,dân,dâc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
dân,dâp,1,1,dân,dâp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vải,bải,1,1,vải,bải,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vải,gải,1,1,vải,gải,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vải,ngải,1,1,vải,ngải,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
áo,kháo,1,1,áo,kháo,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
áo,máo,1,1,áo,máo,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
áo,ngáo,1,1,áo,ngáo,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lực,lủc,1,1,lực,lủc,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lực,lựm,1,1,lực,lựm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lực,lựn,1,1,lực,lựn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
xe,xẹ,1,1,xe,xẹ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
xe,xể,1,1,xe,xể,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vật,vảt,1,1,vật,vảt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vật,vậc,1,1,vật,vậc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
vật,vậm,1,1,vật,vậm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cửa,bửa,1,1,cửa,bửa,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cửa,gửa,1,1,cửa,gửa,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cửa,hửa,1,1,cửa,hửa,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây,chây,1,1,cây,chây,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây,hây,1,1,cây,hây,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây,khây,1,1,cây,khây,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đèn,đén,1,1,đèn,đén,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đèn,đẹn,1,1,đèn,đẹn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đèn,đẻn,1,1,đèn,đẻn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mắt,mảt,1,1,mắt,mảt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mắt,măt,1,1,mắt,măt,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mắt,mẩt,1,1,mắt,mẩt,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tiền,tiềc,1,1,tiền,tiềc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tiền,tiềng,1,1,tiền,tiềng,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tiền,tiềp,1,1,tiền,tiềp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bàn,bàc,1,1,bàn,bàc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bàn,bàm,1,1,bàn,bàm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bàn,bàp,1,1,bàn,bàp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lá,lâ,1,1,lá,lâ,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lá,lă,1,1,lá,lă,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
lá,lấ,1,1,lá,lấ,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hoa,đoa,1,1,hoa,đoa,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đường,đườc,1,1,đường,đườc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đường,đườm,1,1,đường,đườm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đường,đườn,1,1,đường,đườn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tin,tỉn,1,1,tin,tỉn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tin,tịn,1,1,tin,tịn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tin,týn,1,1,tin,týn,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hàng,hàc,1,1,hàng,hàc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hàng,hàp,1,1,hàng,hàp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hàng,hàt,1,1,hàng,hàt,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá,gá,1,1,giá,gá,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá,ngá,1,1,giá,ngá,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nhà,nhá,1,1,nhà,nhá,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nhà,nhạ,1,1,nhà,nhạ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nhà,nhâ,1,1,nhà,nhâ,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước,nướm,1,1,nước,nướm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước,nướn,1,1,nước,nướn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước,nướp,1,1,nước,nướp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hơi nước,hơi nướm,2,2,nước,nướm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hơi nước,hơi nướn,2,2,nước,nướn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
hơi nước,hơi nướp,2,2,nước,nướp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
máy lạnh,máy lânh,2,2,lạnh,lânh,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
máy lạnh,máy lónh,2,2,lạnh,lónh,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
máy lạnh,máy lănh,2,2,lạnh,lănh,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước muối,nướm muối,2,1,nước,nướm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước muối,nướn muối,2,1,nước,nướn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước muối,nướp muối,2,1,nước,nướp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biện pháp,biện phạp,2,2,pháp,phạp,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biện pháp,biện phảp,2,2,pháp,phảp,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
biện pháp,biệc pháp,2,1,biện,biệc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây cảnh,cây cảc,2,2,cảnh,cảc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây cảnh,cây cảp,2,2,cảnh,cảp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây cảnh,cây cảt,2,2,cảnh,cảt,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây xanh,cây xánh,2,2,xanh,xánh,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây xanh,cây xạnh,2,2,xanh,xạnh,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cây xanh,cây xảnh,2,2,xanh,xảnh,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá vé,giá vẹ,2,2,vé,vẹ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá vé,giá vể,2,2,vé,vể,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá vé,chá vé,2,1,giá,chá,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước xốt,nước xọt,2,2,xốt,xọt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước xốt,nước xỏt,2,2,xốt,xỏt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
nước xốt,nướm xốt,2,1,nước,nướm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tinh tế,tinh té,2,2,tế,té,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tinh tế,tinh tẹ,2,2,tế,tẹ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
tinh tế,týnh tế,2,1,tinh,týnh,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất nước,đat nước,2,1,đất,đat,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất nước,đảt nước,2,1,đất,đảt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
đất nước,đấc nước,2,1,đất,đấc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bệnh viện,bệc viện,2,1,bệnh,bệc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bệnh viện,bệm viện,2,1,bệnh,bệm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bệnh viện,bện viện,2,1,bệnh,bện,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
chén nước,chẹn nước,2,1,chén,chẹn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
chén nước,chẻn nước,2,1,chén,chẻn,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
chén nước,chéc nước,2,1,chén,chéc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mái nhà,mái nhá,2,2,nhà,nhá,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mái nhà,mái nhạ,2,2,nhà,nhạ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mái nhà,mái nhâ,2,2,nhà,nhâ,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
xe đẩy,xẹ đẩy,2,1,xe,xẹ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
xe đẩy,xể đẩy,2,1,xe,xể,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
xe đẩy,xe bẩy,2,2,đẩy,bẩy,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá thành,giá thàc,2,2,thành,thàc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá thành,giá thàm,2,2,thành,thàm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
giá thành,giá thàp,2,2,thành,thàp,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mức giá,mủc giá,2,1,mức,mủc,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mức giá,mứm giá,2,1,mức,mứm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
