source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,helper_manual_note,final_selected,review_warning,recommended_action,shortlist_rank_within_length,shortlist_reason,manual_final_decision,manual_note
lực,lủc,1,1,lực,lủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,29,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
mắt,mảt,1,1,mắt,mảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,30,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nhà,nhạ,1,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,31,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
rừng,rúng,1,1,rừng,rúng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,32,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sách,sảch,1,1,sách,sảch,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,33,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sông,sọng,1,1,sông,sọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,34,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sông,sỏng,1,1,sông,sỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,35,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tin,tỉn,1,1,tin,tỉn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,36,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tin,tịn,1,1,tin,tịn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,37,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
trị,trỉ,1,1,trị,trỉ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,38,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
vật,vảt,1,1,vật,vảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,39,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
xe,xẹ,1,1,xe,xẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,40,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đèn,đén,1,1,đèn,đén,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,41,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đèn,đẹn,1,1,đèn,đẹn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,42,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đèn,đẻn,1,1,đèn,đẻn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,43,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đất,đat,1,1,đất,đat,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,44,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đất,đảt,1,1,đất,đảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,45,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
biện pháp,biệc pháp,2,1,biện,biệc,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,1,keep_candidate; final consonant change is pronounceable and less typo-like,,
bệnh viện,bệc viện,2,1,bệnh,bệc,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,2,keep_candidate; final consonant change is pronounceable and less typo-like,,
bệnh viện,bệm viện,2,1,bệnh,bệm,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,3,keep_candidate; final consonant change is pronounceable and less typo-like,,
bệnh viện,bện viện,2,1,bệnh,bện,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,4,keep_candidate; final consonant change is pronounceable and less typo-like,,
tinh tế,týnh tế,2,1,tinh,týnh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,5,keep_candidate; vowel change is pronounceable and less typo-like,,
giá vé,giá vể,2,2,vé,vể,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,6,review_carefully retained as backup; vowel change is relatively acceptable,,
lao động,lao đơng,2,2,động,đơng,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,7,review_carefully retained as backup; vowel change is relatively acceptable,,
mái nhà,mái nhâ,2,2,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,8,review_carefully retained as backup; vowel change is relatively acceptable,,
máy lạnh,máy lânh,2,2,lạnh,lânh,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,9,review_carefully retained as backup; vowel change is relatively acceptable,,
máy lạnh,máy lănh,2,2,lạnh,lănh,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,10,review_carefully retained as backup; vowel change is relatively acceptable,,
nhà cửa,nhâ cửa,2,1,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,11,review_carefully retained as backup; vowel change is relatively acceptable,,
xe đẩy,xể đẩy,2,1,xe,xể,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,12,review_carefully retained as backup; vowel change is relatively acceptable,,
biện pháp,biện phạp,2,2,pháp,phạp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,13,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
biện pháp,biện phảp,2,2,pháp,phảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,14,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
chén nước,chẹn nước,2,1,chén,chẹn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,15,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
chén nước,chẻn nước,2,1,chén,chẻn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,16,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cây xanh,cây xạnh,2,2,xanh,xạnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,17,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cây xanh,cây xảnh,2,2,xanh,xảnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,18,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
giá vé,giá vẹ,2,2,vé,vẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,19,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hệ thống,hệ thóng,2,2,thống,thóng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,20,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hệ thống,hệ thọng,2,2,thống,thọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,21,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
học thức,học thủc,2,2,thức,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,22,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
học thức,hỏc thức,2,1,học,hỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,23,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
khoa học,khoa hỏc,2,2,học,hỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,24,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
kinh tế,kinh té,2,2,tế,té,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,25,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
kinh tế,kinh tẹ,2,2,tế,tẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,26,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
kinh tế,kịnh tế,2,1,kinh,kịnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,27,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
luật pháp,luật phạp,2,2,pháp,phạp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,28,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
luật pháp,luật phảp,2,2,pháp,phảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,29,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
mái nhà,mái nhá,2,2,nhà,nhá,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,30,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
mái nhà,mái nhạ,2,2,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,31,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nghệ thuật,nghẻ thuật,2,1,nghệ,nghẻ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,32,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nhà cửa,nhạ cửa,2,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,33,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước xốt,nước xọt,2,2,xốt,xọt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,34,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước xốt,nước xỏt,2,2,xốt,xỏt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,35,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
pháp luật,phạp luật,2,1,pháp,phạp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,36,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
pháp luật,phảp luật,2,1,pháp,phảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,37,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
phương pháp,phương phạp,2,2,pháp,phạp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,38,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
phương pháp,phương phảp,2,2,pháp,phảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,39,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tinh tế,tinh té,2,2,tế,té,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,40,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tinh tế,tinh tẹ,2,2,tế,tẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,41,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
truyền thống,truyền thóng,2,2,thống,thóng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,42,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
truyền thống,truyền thọng,2,2,thống,thọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,43,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
truyền thống,truyền thỏng,2,2,thống,thỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,44,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
văn hóa,vản hóa,2,1,văn,vản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,45,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
xe đẩy,xẹ đẩy,2,1,xe,xẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,46,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đất nước,đat nước,2,1,đất,đat,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,47,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đất nước,đảt nước,2,1,đất,đảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,48,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
câu trả lời,câu tró lời,3,2,trả,tró,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,1,keep_candidate; vowel change is pronounceable and less typo-like,,
niềm hạnh phúc,niềm hónh phúc,3,2,hạnh,hónh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,2,keep_candidate; vowel change is pronounceable and less typo-like,,
niềm hạnh phúc,niềm hỏnh phúc,3,2,hạnh,hỏnh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,3,keep_candidate; vowel change is pronounceable and less typo-like,,
câu trả lời,câu trâ lời,3,2,trả,trâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,4,review_carefully retained as backup; vowel change is relatively acceptable,,
cá thác lác,cá thác lảc,3,3,lác,lảc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,5,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cá thác lác,cá thảc lác,3,2,thác,thảc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,6,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cá thác lác,cạ thác lác,3,1,cá,cạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,7,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
câu trả lời,câu trạ lời,3,2,trả,trạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,8,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
dây ruy băng,dây ruy bạng,3,3,băng,bạng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,9,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
dòng sản phẩm,dòng sản phám,3,3,phẩm,phám,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,10,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
dòng sản phẩm,dọng sản phẩm,3,1,dòng,dọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,11,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hình chữ nhật,hình chụ nhật,3,2,chữ,chụ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,12,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hình chữ nhật,hính chữ nhật,3,1,hình,hính,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,13,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hình chữ nhật,hịnh chữ nhật,3,1,hình,hịnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,14,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
kiến trúc sư,kiến trúc sủ,3,3,sư,sủ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,15,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
kiến trúc sư,kiến trủc sư,3,2,trúc,trủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,16,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
loại sản phẩm,loại sản phám,3,3,phẩm,phám,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,17,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
loại thực phẩm,loại thủc phẩm,3,2,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,18,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
loại thực phẩm,loại thực phám,3,3,phẩm,phám,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,19,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
muỗng cà phê,muỗng cà phé,3,3,phê,phé,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,20,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
muỗng cà phê,muỗng cà phẹ,3,3,phê,phẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,21,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
muỗng cà phê,muỗng cạ phê,3,2,cà,cạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,22,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy hút bụi,máy hủt bụi,3,2,hút,hủt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,23,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy hút khói,máy hủt khói,3,2,hút,hủt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,24,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy nghe nhạc,máy nghe nhảc,3,3,nhạc,nhảc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,25,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy nghe nhạc,máy nghẹ nhạc,3,2,nghe,nghẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,26,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy nghe nhạc,máy nghẻ nhạc,3,2,nghe,nghẻ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,27,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy nước nóng,máy nước nỏng,3,3,nóng,nỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,28,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nhà sản xuất,nhạ sản xuất,3,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,29,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nhà thiết kế,nhà thiết ké,3,3,kế,ké,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,30,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nhà thiết kế,nhạ thiết kế,3,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,31,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nét văn hóa,nét vản hóa,3,2,văn,vản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,32,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nét văn hóa,nẹt văn hóa,3,1,nét,nẹt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,33,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nét văn hóa,nẻt văn hóa,3,1,nét,nẻt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,34,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước vo gạo,nước vọ gạo,3,2,vo,vọ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,35,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nồi áp suất,nồi ạp suất,3,2,áp,ạp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,36,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nồi áp suất,nồi ảp suất,3,2,áp,ảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,37,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
quán cà phê,quán cà phé,3,3,phê,phé,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,38,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
