pseudoword,syllable_length,source_method,pronounceability_note,corpus_match_status,review_status,notes
sủ,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phệm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thửnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gử,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bấp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quônh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xưn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mẻn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngứm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngểc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhệp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bổnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sứp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quỏnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sụnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nỉt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giốch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dáo,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mẻc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trểch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cộp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trơt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giỷp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hẳp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giôm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trạ,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cổm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rấnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
vợnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quụn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngậch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xỷch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quẹch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ính,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cợ,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dý,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
vủn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quưt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngổng,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhúch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phỵn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nặm nhứn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gẩm phỉc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trản máo,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhẹnh xặ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thớm gẩn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhởt tớt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hửn giếch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
éch dỵc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lêch bẩp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ộp lưm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bâc trỏ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hẩt rỏ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trý lệng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhủp nhợng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đuch quỉch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bịc nghếnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhểc tốm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giỷnh gôm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rỏc nghích,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
líp thứt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cốnh rỏ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lảc sẹc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ói rẻm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
víc tých,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chợm mọn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thẻnh quếnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bặ xân,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
vấm tâng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phựt cốnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xọp nhỉu,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trện tưch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nghỵt nơch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dêc giịnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cớch lệm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lỏ sấnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ủc dủc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đởch ghỷn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dỏc phọn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
tểc ngến,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rốc trẳp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gộch hích,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giửm dậc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hịc hẩng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dửnh rôc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hổt ngúch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
